"cause","sex","age","year","region","source","mx_m"
"all","f",0,2023,"Gaza Strip","moh",0.0243656935
"all","f",1,2023,"Gaza Strip","moh",0.015138440675
"all","f",5,2023,"Gaza Strip","moh",0.01746264455
"all","f",10,2023,"Gaza Strip","moh",0.01564604715
"all","f",15,2023,"Gaza Strip","moh",0.0095818574025
"all","f",20,2023,"Gaza Strip","moh",0.0110404015125
"all","f",25,2023,"Gaza Strip","moh",0.0121912071675
"all","f",30,2023,"Gaza Strip","moh",0.020506534
"all","f",35,2023,"Gaza Strip","moh",0.017943485975
"all","f",40,2023,"Gaza Strip","moh",0.0181312586
"all","f",45,2023,"Gaza Strip","moh",0.0194167668
"all","f",50,2023,"Gaza Strip","moh",0.026027977475
"all","f",55,2023,"Gaza Strip","moh",0.02651356285
"all","f",60,2023,"Gaza Strip","moh",0.03999417515
"all","f",65,2023,"Gaza Strip","moh",0.0474655889
"all","f",70,2023,"Gaza Strip","moh",0.052464747425
"all","f",75,2023,"Gaza Strip","moh",0.06474685415
"all","f",80,2023,"Gaza Strip","moh",0.1827006525
"all","m",0,2023,"Gaza Strip","moh",0.0230044346
"all","m",1,2023,"Gaza Strip","moh",0.01245008835
"all","m",5,2023,"Gaza Strip","moh",0.0133919362
"all","m",10,2023,"Gaza Strip","moh",0.01367440005
"all","m",15,2023,"Gaza Strip","moh",0.01713572065
"all","m",20,2023,"Gaza Strip","moh",0.023504302225
"all","m",25,2023,"Gaza Strip","moh",0.02485068485
"all","m",30,2023,"Gaza Strip","moh",0.02795272845
"all","m",35,2023,"Gaza Strip","moh",0.0252412218
"all","m",40,2023,"Gaza Strip","moh",0.02308110705
"all","m",45,2023,"Gaza Strip","moh",0.01495879975
"all","m",50,2023,"Gaza Strip","moh",0.019812287925
"all","m",55,2023,"Gaza Strip","moh",0.022509290675
"all","m",60,2023,"Gaza Strip","moh",0.045503720825
"all","m",65,2023,"Gaza Strip","moh",0.0548561927
"all","m",70,2023,"Gaza Strip","moh",0.078444266325
"all","m",75,2023,"Gaza Strip","moh",0.072299340875
"all","m",80,2023,"Gaza Strip","moh",0.25290030025
"conflict","f",0,2023,"Gaza Strip","moh",0.0123367709525
"conflict","f",1,2023,"Gaza Strip","moh",0.0145973121
"conflict","f",5,2023,"Gaza Strip","moh",0.017199078525
"conflict","f",10,2023,"Gaza Strip","moh",0.015441969125
"conflict","f",15,2023,"Gaza Strip","moh",0.0093039668575
"conflict","f",20,2023,"Gaza Strip","moh",0.01068420128
"conflict","f",25,2023,"Gaza Strip","moh",0.011827692605
"conflict","f",30,2023,"Gaza Strip","moh",0.01986456235
"conflict","f",35,2023,"Gaza Strip","moh",0.016871580925
"conflict","f",40,2023,"Gaza Strip","moh",0.01711167095
"conflict","f",45,2023,"Gaza Strip","moh",0.017962162075
"conflict","f",50,2023,"Gaza Strip","moh",0.022951404725
"conflict","f",55,2023,"Gaza Strip","moh",0.0213340323
"conflict","f",60,2023,"Gaza Strip","moh",0.0320055168
"conflict","f",65,2023,"Gaza Strip","moh",0.030877805725
"conflict","f",70,2023,"Gaza Strip","moh",0.019218909225
"conflict","f",75,2023,"Gaza Strip","moh",0.020628019075
"conflict","f",80,2023,"Gaza Strip","moh",0.0439303794
"conflict","m",0,2023,"Gaza Strip","moh",0.00940396874
"conflict","m",1,2023,"Gaza Strip","moh",0.0118537534925
"conflict","m",5,2023,"Gaza Strip","moh",0.013031522375
"conflict","m",10,2023,"Gaza Strip","moh",0.013320534875
"conflict","m",15,2023,"Gaza Strip","moh",0.016289214375
"conflict","m",20,2023,"Gaza Strip","moh",0.02120250045
"conflict","m",25,2023,"Gaza Strip","moh",0.022396332975
"conflict","m",30,2023,"Gaza Strip","moh",0.0257733755
"conflict","m",35,2023,"Gaza Strip","moh",0.0227847229
"conflict","m",40,2023,"Gaza Strip","moh",0.02044468455
"conflict","m",45,2023,"Gaza Strip","moh",0.0118807751675
"conflict","m",50,2023,"Gaza Strip","moh",0.0144653561
"conflict","m",55,2023,"Gaza Strip","moh",0.014272828825
"conflict","m",60,2023,"Gaza Strip","moh",0.02915367495
"conflict","m",65,2023,"Gaza Strip","moh",0.033201260675
"conflict","m",70,2023,"Gaza Strip","moh",0.036580157
"conflict","m",75,2023,"Gaza Strip","moh",0.034047651575
"conflict","m",80,2023,"Gaza Strip","moh",0.045409744425
"noconflict","f",0,2023,"Gaza Strip","moh",0.0120289225475
"noconflict","f",1,2023,"Gaza Strip","moh",0.000541128575
"noconflict","f",5,2023,"Gaza Strip","moh",0.000263566025
"noconflict","f",10,2023,"Gaza Strip","moh",0.000204078025
"noconflict","f",15,2023,"Gaza Strip","moh",0.000277890545
"noconflict","f",20,2023,"Gaza Strip","moh",0.0003562002325
"noconflict","f",25,2023,"Gaza Strip","moh",0.0003635145625
"noconflict","f",30,2023,"Gaza Strip","moh",0.00064197165
"noconflict","f",35,2023,"Gaza Strip","moh",0.00107190505
"noconflict","f",40,2023,"Gaza Strip","moh",0.00101958765
"noconflict","f",45,2023,"Gaza Strip","moh",0.001454604725
"noconflict","f",50,2023,"Gaza Strip","moh",0.00307657275
"noconflict","f",55,2023,"Gaza Strip","moh",0.00517953055
"noconflict","f",60,2023,"Gaza Strip","moh",0.00798865835
"noconflict","f",65,2023,"Gaza Strip","moh",0.016587783175
"noconflict","f",70,2023,"Gaza Strip","moh",0.0332458382
