"year","sex","age","dx","pop","mx"
2023,"f",0,63.1491,6835.53319,0.00923835760060145
2023,"f",1,68.29391,6900.23034,0.00989733771698989
2023,"f",2,72.71715,6868.412,0.0105871852183591
2023,"f",3,75.77495,6717.19316,0.0112807460192197
2023,"f",4,76.99344,6449.8129,0.0119373137164956
2023,"f",5,433.38096,30307.94503,0.0142992525415703
2023,"f",6,426.16528,28870.31376,0.0147613664175155
2023,"f",7,416.6719,27787.29668,0.0149950498891064
2023,"f",8,407.34903,27202.65695,0.0149746045303122
2023,"f",9,398.23819,27050.80724,0.0147218597384822
2023,"f",10,388.57961,27204.22959,0.0142837939488218
2023,"f",11,377.00342,27449.5048,0.0137344342911425
2023,"f",12,362.3672,27554.30646,0.0131510187173842
2023,"f",13,345.12681,27375.74191,0.0126070303823959
2023,"f",14,326.39736,26829.31237,0.0121656997950112
2023,"f",15,308.17925,25948.98109,0.0118763526371663
2023,"f",16,292.35064,24820.31469,0.0117786838584197
2023,"f",17,279.91316,23562.62389,0.011879541145619
2023,"f",18,271.38678,22294.25958,0.0121729442965425
2023,"f",19,266.31287,21119.12128,0.0126100355440546
2023,"f",20,263.93182,20120.18374,0.0131177639036809
2023,"f",21,263.3355,19347.14928,0.0136110750058781
2023,"f",22,263.65265,18830.71102,0.0140012052502944
2023,"f",23,264.7426,18557.5207,0.0142660544088737
2023,"f",24,266.86426,18496.8489,0.0144275525762661
2023,"f",25,270.80023,18586.6966,0.0145695728416851
2023,"f",26,277.53658,18749.70712,0.0148021821473657
2023,"f",27,287.12351,18909.52831,0.0151840651597935
2023,"f",28,298.89873,18990.65339,0.0157392546671086
2023,"f",29,310.23379,18936.54704,0.0163828067146924
2023,"f",30,317.1004,18706.07699,0.016951731791199
2023,"f",31,315.6535,18283.91302,0.0172640014013805
2023,"f",32,303.12665,17674.6545,0.0171503578754538
2023,"f",33,281.05886,16907.30965,0.0166235117128762
2023,"f",34,253.53943,16024.73678,0.0158217531732836
2023,"f",35,225.73712,15080.10484,0.0149692009700909
2023,"f",36,201.98825,14126.96256,0.0142980664910887
2023,"f",37,183.81589,13211.11603,0.0139137291340556
2023,"f",38,171.32358,12369.17151,0.0138508532977727
2023,"f",39,163.21286,11627.03208,0.0140373621468498
2023,"f",40,157.59135,11001.98503,0.0143239015114348
2023,"f",41,152.77162,10494.95843,0.0145566674721931
